Question,Answer
was vietnamese formally written using the chinese writing system?,"yes, vietnamese was *formerly* written using the chinese writing system"
does vietnamese have a large number of vowels?,"yes, vietnamese has a comparatively large number of vowels"
what are the three dialect regions of vietnamese?,"the three regions are north, central, and south"
when was the reunification of vietnam?,the reunification of vietnam occurred in 1975-76
how many tones do northern varieties have?,northern vietnamese has six tones
does vietnamese borrow from latin and greek?,"no, vietnamese does not borrow from latin and greek"
did vietnamese come to predominate politically in 2nd century bc?,"no, chinese came to predominate politically in the 2nd century bc"
do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?,more southern speakers speak the northern dialect than northerners speak the suthern dialect
what happened in 1860?,vincent van gogh attended the zundert village school from 1860
who frequented the circle of the british-australian artist john peter russell?,van gogh
were the letters first annotated in 1913 by theos widow johanna van gogh-bonger?,yes
was kee seven years older than van gogh as well as had an eight-year-old son?,yes
"did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life, and died largely unknown, at the age of 37, from a self-inflicted gunshot wound?",yes
"appreciated during his lifetime, did his fame grow in the years after his death?",yes
"is today, he widely regarded as one of historys greatest painters and an important contributor to the foundations of modern art?",yes
what is a violin called informally?,fiddle
what is a violin called informally?,a fiddle
what is a person that makes or repairs violins called?,luthier
what is a person that makes or repairs violins called?,"a luthier, or simply a violin maker"
"what does the ""voice"" of a violin depend upon?",shape
"what does the ""voice"" of a violin depend upon?",its shape
is the violin a percussion instrument?,yes
what happened in 1980s?,the use of traditional (non-synthesized) orchestras declined
who features violinist boyd tinsley?,dave matthews band features violinist boyd tinsley
"regarding this topic, what did antonio stradivari do?",antonio stradivari made violins
when did charles ix order amati to construct 24 violins for him?,1560
is a string first tuned to a standard pitch?,yes
is each node at an integer division of the string?,yes
is the tuning g-d-a-e used for most violin music?,yes
"is it the smallest and highest-pitched member of the violin family of string instruments, which also includes the viola and cello?","yes, it is the smallest and highest-pitched member of the violin family of string instruments, which also includes the viola and cello"
"is a violin sometimes informally called a fiddle, regardless of the type of music played on it?",yes
"does the word ``violin come from the middle latin word vitula, meaning ``stringed instrument?",yes
